date,sentiment_mean,sentiment_std,post_count,sentiment_net,sentiment_diff,sentiment_activity
2018-01-31,-0.6133566,0.0,1,-1,-613356.56,1
2018-03-16,0.51313305,0.0,1,1,513133.06,1
2018-03-27,0.080426715,0.0,1,1,80426.72,1
2018-04-16,0.7996045,0.0,1,1,799604.5,1
2018-06-22,-0.3542416,0.0,1,-1,-354241.62,1
2018-10-23,0.6700071,0.0,1,1,670007.1,1
2018-11-30,-0.17850146,0.0,1,-1,-178501.45,1
2019-01-03,0.5232983,0.054070614,2,2,9.6778755,2
2019-02-22,0.08803862,0.0,1,1,88038.625,1
2019-04-01,0.039052576,0.0,1,1,39052.574,1
2019-04-16,0.6003437,0.0,1,1,600343.7,1
2019-04-18,0.8035485,0.0,1,1,803548.5,1
2019-04-22,0.4575568,0.0,1,1,457556.8,1
2019-04-25,0.6685791,0.09042325,3,3,7.393803,3
2019-04-29,0.31608596,0.0,1,1,316085.97,1
2019-05-01,0.46482646,0.39204952,3,3,1.185629,3
2019-05-07,0.6003437,0.0,1,1,600343.7,1
2019-05-10,0.8615764,0.0,1,1,861576.4,1
2019-05-13,0.6003437,0.0,1,1,600343.7,1
2019-05-14,0.38887274,0.0,1,1,388872.75,1
2019-05-15,0.1578073,0.4470376,2,0,0.35300598,2
2019-05-16,0.86451393,0.0,1,1,864513.94,1
2019-05-17,0.04610615,0.0,1,1,46106.15,1
2019-05-20,0.47799182,0.0,1,1,477991.8,1
2019-05-21,0.6003437,0.0,1,1,600343.7,1
2019-05-22,0.88301367,0.0,1,1,883013.7,1
2019-05-23,0.18686503,0.0,1,1,186865.03,1
2019-05-24,0.070305586,0.0,1,1,70305.586,1
2019-05-26,0.042632673,0.0,1,1,42632.67,1
2019-05-27,0.4575568,0.0,1,1,457556.8,1
2019-05-29,0.8249357,0.0,1,1,824935.7,1
2019-05-30,0.35073024,0.0,1,1,350730.25,1
2019-05-31,0.45398855,0.57683283,2,2,0.7870352,2
2019-06-03,0.60656583,0.3078645,2,2,1.97023,2
2019-06-06,-0.14603695,0.0,1,-1,-146036.95,1
2019-06-07,0.86187094,0.0,1,1,861870.94,1
2019-06-10,0.64613783,0.0,1,1,646137.8,1
2019-06-13,0.5711513,0.0,1,1,571151.3,1
2019-06-14,0.86187094,0.0,1,1,861870.94,1
2019-06-16,0.37887335,0.0,1,1,378873.34,1
2020-03-23,0.81682193,0.0,1,1,816821.94,1
2020-03-24,0.80556273,0.0,1,1,805562.75,1
2020-03-27,0.06823029,0.21808079,2,0,0.3128656,2
2020-03-30,0.44501826,0.6148531,2,2,0.72377867,2
2020-04-07,0.0026843846,1.1700844,2,0,0.0022941786,2
2020-04-08,-0.16881508,0.0,1,-1,-168815.08,1
2020-04-09,-0.016617566,0.0,1,-1,-16617.566,1
2020-04-23,0.0336289,0.8426631,3,1,0.039907835,3
2020-04-24,0.8853897,0.030211493,2,2,29.305416,2
2020-04-27,0.5772083,0.35577828,5,5,1.6223774,5
2020-04-28,0.89921236,0.0,1,1,899212.4,1
2020-04-30,0.08185857,0.0,1,1,81858.57,1
2020-05-01,0.78337866,0.0,1,1,783378.7,1
2020-05-05,-0.06746228,0.022921205,2,-2,-2.9430974,2
2020-05-06,0.91015875,0.0,1,1,910158.75,1
2020-05-07,0.2326285,0.82264906,2,0,0.2827794,2
2020-05-12,0.7514565,0.0,1,1,751456.5,1
2020-05-13,-0.090237826,0.8439966,2,0,-0.10691716,2
2020-05-14,0.5767067,0.18325157,2,2,3.1470592,2
2020-05-15,0.6730594,0.0,1,1,673059.4,1
2020-05-18,0.029710112,0.0,1,1,29710.111,1
2020-05-19,-0.2879694,0.0,1,-1,-287969.4,1
2020-05-20,0.5561724,0.3120446,2,2,1.7823433,2
